,ApplicationSignedHour,ApplicationSignedWeekday,VerificationType,AppliedAmount,LanguageCode,Age,Gender,Country,LoanDuration,MonthlyPayment,UseOfLoan,Education,MaritalStatus,NrOfDependants,EmploymentStatus,EmploymentDurationCurrentEmployer,WorkExperience,OccupationArea,HomeOwnershipType,IncomeFromPrincipalEmployer,IncomeFromPension,IncomeFromFamilyAllowance,IncomeFromSocialWelfare,IncomeFromLeavePay,IncomeFromChildSupport,IncomeOther,IncomeTotal,ExistingLiabilities,LiabilitiesTotal,RefinanceLiabilities,DebtToIncome,FreeCash,MonthlyPaymentDay,NewCreditCustomer,NoOfPreviousLoansBeforeLoan,AmountOfPreviousLoansBeforeLoan,PreviousRepaymentsBeforeLoan,PreviousEarlyRepaymentsBefoleLoan,PreviousEarlyRepaymentsCountBeforeLoan,TARGET,EE,ES,FI,SK
1375,19.0,3.0,2.0,319.5582,1.0,31.0,1.0,EE,6.0,,4.0,2.0,3.0,1,3.0,MoreThan5Years,10To15Years,19.0,,8000.0,0.0,0.0,0.0,0.0,0.0,300.0,8300.0,0.0,0.0,0.0,0.0,0.0,20.0,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1376,13.0,4.0,2.0,115.041,1.0,36.0,0.0,EE,3.0,,7.0,5.0,1.0,0,,,LessThan2Years,1.0,,6000.0,0.0,0.0,0.0,0.0,0.0,4200.0,10200.0,0.0,0.0,0.0,0.0,0.0,6.0,True,1.0,12.7862,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1377,16.0,4.0,2.0,639.1165,1.0,30.0,1.0,EE,24.0,,7.0,3.0,1.0,2,2.0,,10To15Years,9.0,,3000.0,0.0,0.0,0.0,0.0,0.0,1000.0,4000.0,0.0,0.0,0.0,0.0,0.0,15.0,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1378,14.0,5.0,2.0,958.6747,1.0,40.0,1.0,EE,24.0,,7.0,4.0,3.0,1,3.0,UpTo1Year,15To25Years,3.0,,5000.0,0.0,0.0,0.0,0.0,0.0,1000.0,6000.0,0.0,0.0,0.0,0.0,0.0,20.0,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1379,17.0,5.0,2.0,63.9116,1.0,19.0,0.0,EE,2.0,,4.0,4.0,3.0,0,,,2To5Years,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,5000.0,0.0,0.0,0.0,0.0,0.0,24.0,True,1.0,70.3028,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1380,19.0,5.0,2.0,95.8675,1.0,38.0,1.0,EE,6.0,,8.0,4.0,2.0,1,3.0,,15To25Years,1.0,,6600.0,0.0,0.0,0.0,0.0,0.0,4000.0,10600.0,0.0,0.0,0.0,0.0,0.0,10.0,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1381,17.0,7.0,2.0,319.5582,1.0,26.0,1.0,EE,16.0,,4.0,4.0,2.0,2,3.0,UpTo2Years,2To5Years,16.0,,5000.0,0.0,0.0,0.0,0.0,0.0,1500.0,6500.0,0.0,0.0,0.0,0.0,0.0,1.0,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1382,12.0,1.0,2.0,63.9116,1.0,38.0,1.0,EE,4.0,,8.0,4.0,2.0,1,3.0,,15To25Years,1.0,,6600.0,0.0,0.0,0.0,0.0,0.0,4000.0,10600.0,0.0,0.0,0.0,0.0,0.0,10.0,True,1.0,95.8675,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1383,17.0,2.0,2.0,102.2586,1.0,36.0,0.0,EE,3.0,,7.0,5.0,1.0,0,,,LessThan2Years,1.0,,6000.0,0.0,0.0,0.0,0.0,0.0,4200.0,10200.0,0.0,0.0,0.0,0.0,0.0,6.0,True,2.0,25.5651,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1384,22.0,2.0,2.0,159.7791,1.0,42.0,1.0,EE,3.0,,0.0,4.0,4.0,0,2.0,UpTo3Years,10To15Years,18.0,,7000.0,0.0,0.0,0.0,0.0,0.0,4750.0,11750.0,0.0,0.0,0.0,0.0,0.0,15.0,True,2.0,319.5584,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1385,21.0,3.0,2.0,319.5582,1.0,31.0,1.0,EE,10.0,,2.0,4.0,2.0,3,3.0,MoreThan5Years,5To10Years,7.0,,4500.0,0.0,0.0,0.0,0.0,0.0,5000.0,9500.0,0.0,0.0,0.0,0.0,0.0,15.0,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1386,16.0,4.0,2.0,255.6466,1.0,26.0,0.0,EE,12.0,,7.0,2.0,2.0,1,3.0,,5To10Years,3.0,,5000.0,0.0,0.0,0.0,0.0,0.0,10000.0,15000.0,0.0,0.0,0.0,0.0,0.0,13.0,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1387,17.0,4.0,2.0,115.041,1.0,19.0,0.0,EE,1.0,0.0,7.0,2.0,2.0,0,3.0,UpTo3Years,2To5Years,1.0,0.0,7200.0,0.0,0.0,0.0,0.0,0.0,1500.0,8700.0,0.0,0.0,0.0,0.0,0.0,20.0,True,3.0,447.36,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1388,0.0,6.0,2.0,319.5582,1.0,46.0,1.0,EE,3.0,,4.0,4.0,4.0,1,3.0,MoreThan5Years,15To25Years,3.0,,13200.0,0.0,0.0,0.0,0.0,0.0,4600.0,17800.0,0.0,0.0,0.0,0.0,0.0,15.0,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1389,18.0,5.0,2.0,95.8675,1.0,19.0,0.0,EE,2.0,,7.0,2.0,2.0,0,3.0,UpTo4Years,2To5Years,1.0,,7200.0,0.0,0.0,0.0,0.0,0.0,1500.0,8700.0,0.0,0.0,0.0,0.0,0.0,15.0,True,4.0,466.53,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
